Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301590.lib1	702448.0	0.0	702448.0	1.0	351224.0	351224.0	165202.0	162758.0	537246.0	139866.0	702448.0	0.0	3620.0	0.0	0.0	0.0	103835111.0	51917754.0	51917357.0	24707636.0	24707636.0	0.0	0.0	182959.0	0.007404958	148.0	148.0	148.0	150.0	150.0	150.0	39.0	300.1	114.3	77442.0	1159.0	88.0	2690.0	19.9	23.518039769491832	23.170113659658792	76.48196023050816	19.91122474546159	100.0	0.0	0.5153406373140788	0.0
REF0009-mgg-pbdrep | M301591.lib1	46823808.0	0.0	46823808.0	1.0	23411904.0	23411904.0	39363537.0	38795758.0	7460271.0	34605374.0	46823808.0	0.0	745767.0	0.0	0.0	0.0	6994193804.0	3497143411.0	3497050393.0	5882001056.0	5882001056.0	0.0	0.0	38726436.0	0.006583888	149.0	149.0	149.0	150.0	150.0	150.0	39.1	296.2	107.2	18576178.0	316403.0	32984.0	472314.0	73.9	84.06735522236893	82.85476909524317	15.932644777631072	73.90550977827348	100.0	0.0	1.5927089911183645	0.0
REF0009-mgg-pbdrep | M301592.lib1	2548872.0	0.0	2548872.0	1.0	1274436.0	1274436.0	47743.0	46212.0	2501129.0	43344.0	2548872.0	0.0	1757.0	0.0	0.0	0.0	375349806.0	187672154.0	187677652.0	7071027.0	7071027.0	0.0	0.0	66589.0	0.009417161	147.0	147.0	147.0	150.0	150.0	150.0	38.9	251.2	97.8	21532.0	1162.0	102.0	310.0	1.7	1.873103082461575	1.8130372964982155	98.12689691753842	1.7005169345498714	100.0	0.0	0.0689324532577548	0.0
REF0009-mgg-pbdrep | M301593.lib1	43583916.0	0.0	43583916.0	1.0	21791958.0	21791958.0	37288191.0	36836350.0	6295725.0	33819022.0	43583916.0	0.0	723356.0	0.0	0.0	0.0	6504725002.0	3252393092.0	3252331910.0	5565794860.0	5565794860.0	0.0	0.0	36643506.0	0.006583697	149.0	149.0	149.0	150.0	150.0	150.0	39.2	279.6	101.2	17613362.0	415004.0	14116.0	375693.0	77.6	85.55493499023814	84.51821997821398	14.445065009761858	77.59518901422258	100.0	0.0	1.6596856510094227	0.0
REF0009-mgg-pbdrep | M301594.lib1	56717224.0	0.0	56717224.0	1.0	28358612.0	28358612.0	48944914.0	48356200.0	7772310.0	45327448.0	56717224.0	0.0	1021611.0	0.0	0.0	0.0	8470077542.0	4235065739.0	4235011803.0	7310340509.0	7310340509.0	0.0	0.0	49853878.0	0.006819638	149.0	149.0	149.0	150.0	150.0	150.0	39.2	274.2	93.7	23238239.0	497397.0	18706.0	423758.0	79.9	86.2963850275888	85.25840404318801	13.703614972411202	79.91831193994967	100.0	0.0	1.8012358996977709	0.0
REF0009-mgg-pbdrep | M301595.lib1	50450480.0	0.0	50450480.0	1.0	25225240.0	25225240.0	42764971.0	42206940.0	7685509.0	37892284.0	50450480.0	0.0	872678.0	0.0	0.0	0.0	7535567448.0	3767826903.0	3767740545.0	6388592570.0	6388592570.0	0.0	0.0	44877042.0	0.007024558	149.0	149.0	149.0	150.0	150.0	150.0	39.1	285.1	105.8	20134184.0	411999.0	17085.0	540202.0	75.1	84.76623215477831	83.66013564192055	15.23376784522169	75.1078760796726	100.0	0.0	1.7297714511338644	0.0
REF0009-mgg-pbdrep | M301596.lib1	714720.0	0.0	714720.0	1.0	357360.0	357360.0	131373.0	129608.0	583347.0	117936.0	714720.0	0.0	2801.0	0.0	0.0	0.0	105230320.0	52613921.0	52616399.0	19609915.0	19609915.0	0.0	0.0	139476.0	0.007112524	147.0	147.0	147.0	150.0	150.0	150.0	39.0	281.6	103.2	61890.0	1402.0	53.0	1459.0	16.5	18.381044325050368	18.134094470561898	81.61895567494963	16.501007387508395	100.0	0.0	0.39190172375195875	0.0
REF0009-mgg-pbdrep | M301597.lib1	55045718.0	0.0	55045718.0	1.0	27522859.0	27522859.0	49012215.0	48590572.0	6033503.0	44018056.0	55045718.0	0.0	720220.0	0.0	0.0	0.0	8227990777.0	4114046782.0	4113943995.0	7327267413.0	7327267413.0	0.0	0.0	37631405.0	0.005135803	149.0	149.0	149.0	150.0	150.0	150.0	39.2	274.6	98.2	23242613.0	426976.0	22037.0	603660.0	80.0	89.03910563942503	88.27311871924351	10.960894360574967	79.96635814615044	100.0	0.0	1.3084033166757858	0.0
REF0009-mgg-pbdrep | M301598.lib1	51340570.0	0.0	51340570.0	1.0	25670285.0	25670285.0	43299734.0	42657698.0	8040836.0	36635344.0	51340570.0	0.0	938852.0	0.0	0.0	0.0	7677275053.0	3838694653.0	3838580400.0	6476028844.0	6476028844.0	0.0	0.0	47225067.0	0.007292288	150.0	150.0	150.0	150.0	150.0	150.0	39.1	300.7	114.3	20284483.0	306803.0	23033.0	714530.0	71.4	84.33824166735975	83.0876984809479	15.661758332640249	71.35749369358385	100.0	0.0	1.8286746719017728	0.0
REF0009-mgg-pbdrep | M301599.lib1	35862584.0	0.0	35862584.0	1.0	17931292.0	17931292.0	29636496.0	29270892.0	6226088.0	26811228.0	35862584.0	0.0	606903.0	0.0	0.0	0.0	5350984712.0	2675515590.0	2675469122.0	4423486227.0	4423486227.0	0.0	0.0	29809009.0	0.006738804	149.0	149.0	149.0	150.0	150.0	150.0	39.2	276.5	101.9	13993273.0	334150.0	11480.0	296543.0	74.8	82.63904240698328	81.6195843556616	17.36095759301672	74.76100439388304	100.0	0.0	1.6923013690257234	0.0
