Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
M301586.lib1_1	64.50556216575295	49.0	150.0	150	27.27272727272727	682993.0
M301586.lib1_2	65.28940444746183	50.0	150.0	150	27.27272727272727	682993.0
M301587.lib1_1	64.06536850865024	50.0	150.0	150	18.181818181818183	22816739.0
M301587.lib1_2	65.05234959628663	50.0	150.0	150	18.181818181818183	22816739.0
M301588.lib1_1	68.71036547820874	50.0	150.0	150	9.090909090909092	26555659.0
M301588.lib1_2	69.78948599125317	51.0	150.0	150	27.27272727272727	26555659.0
M301589.lib1_1	44.4701019797914	50.0	150.0	150	0.0	26649707.0
M301589.lib1_2	46.057535890742244	51.0	150.0	150	9.090909090909092	26649707.0
M301590.lib1_1	73.99983025988692	46.0	150.0	150	18.181818181818183	1060027.0
M301590.lib1_2	73.90224565795	48.0	150.0	150	27.27272727272727	1060027.0
M301591.lib1_1	81.1922569788317	48.0	150.0	150	9.090909090909092	25245886.0
M301591.lib1_2	81.99583075485214	49.0	150.0	150	18.181818181818183	25245886.0
M301592.lib1_1	81.51423139091017	48.0	150.0	150	18.181818181818183	4581251.0
M301592.lib1_2	81.53043309362859	49.0	150.0	150	27.27272727272727	4581251.0
M301593.lib1_1	48.12013502672027	50.0	150.0	150	0.0	22583385.0
M301593.lib1_2	49.23861774945964	51.0	150.0	150	9.090909090909092	22583385.0
M301594.lib1_1	55.800913552120676	52.0	150.0	150	9.090909090909092	29518887.0
M301594.lib1_2	56.79297670425614	52.0	150.0	150	9.090909090909092	29518887.0
M301595.lib1_1	60.59410775283978	50.0	150.0	150	9.090909090909092	26412517.0
M301595.lib1_2	61.687616114214784	51.0	150.0	150	18.181818181818183	26412517.0
M301596.lib1_1	64.79071454741845	49.0	150.0	150	18.181818181818183	878460.0
M301596.lib1_2	65.39655144594272	50.0	150.0	150	27.27272727272727	878460.0
M301597.lib1_1	79.30850954391391	49.0	150.0	150	9.090909090909092	28938015.0
M301597.lib1_2	80.35804950592419	50.0	150.0	150	18.181818181818183	28938015.0
M301598.lib1_1	68.53225498711619	50.0	150.0	150	9.090909090909092	26976332.0
M301598.lib1_2	69.5147137984098	51.0	150.0	150	18.181818181818183	26976332.0
M301599.lib1_1	75.82840877683066	50.0	150.0	150	9.090909090909092	18992844.0
M301599.lib1_2	76.48021848978118	50.0	150.0	150	18.181818181818183	18992844.0
M301600.lib1_1	74.14394834031151	49.0	150.0	150	18.181818181818183	1513143.0
M301600.lib1_2	74.62548379749742	50.0	150.0	150	27.27272727272727	1513143.0
M301601.lib1_1	84.15821850418507	49.0	150.0	150	18.181818181818183	3517638.0
M301601.lib1_2	84.12107178153178	50.0	150.0	150	27.27272727272727	3517638.0
M301602.lib1_1	64.99659348785528	50.0	150.0	150	9.090909090909092	29159286.0
M301602.lib1_2	66.28784768927281	50.0	150.0	150	18.181818181818183	29159286.0
M301603.lib1_1	40.345902892327125	50.0	150.0	150	0.0	24878768.0
M301603.lib1_2	41.263486109009676	50.0	150.0	150	9.090909090909092	24878768.0
M301604.lib1_1	64.17189968702388	50.0	150.0	150	9.090909090909092	27269227.0
M301604.lib1_2	65.23977500871518	51.0	150.0	150	18.181818181818183	27269227.0
M301605.lib1_1	79.80623668766768	48.0	150.0	150	18.181818181818183	2642506.0
M301605.lib1_2	79.92285104625896	49.0	150.0	150	27.27272727272727	2642506.0
